,X1,X2,interval,interval_size,y,predicted,label_predicted
993,-1.168504394951356,0.2859756442380408,[0.286 0.5  ],0.21399999,0,0.48598373,0.0
331,5.535455701589695,4.116693874265306,[0.5 0.6],0.100000024,1,0.62746227,1.0
619,-2.2620523412477667,0.0502679024561736,[0.286 0.429],0.14299998,1,0.35262164,0.0
921,-0.6506130071300842,-0.2108089940335265,[0.5 0.6],0.100000024,1,0.5563784,1.0
177,-0.1891686538867169,1.5425312048003743,[0.5 0.6],0.100000024,1,0.61128366,1.0
521,0.5496698458683307,0.1958558745946906,[0.5 0.6],0.100000024,1,0.5075028,1.0
531,1.2436160975216102,-4.824720967217336,[0.    0.429],0.429,0,0.15719855,0.0
793,-0.4940075760486502,0.9212067582885424,[0.5 0.6],0.100000024,1,0.55376524,1.0
784,4.86215437244879,-6.074322229482325,[0.    0.429],0.429,0,0.13220276,0.0
236,-0.4255962032153574,-0.3293235003858487,[0.286 0.429],0.14299998,0,0.45533413,0.0
709,3.219792656910656,2.391284054955305,[0.5 0.6],0.100000024,1,0.62746227,1.0
122,0.8229697505265752,1.6946152558125671,[0.5 0.6],0.100000024,1,0.62746227,1.0
941,1.095173309475073,2.661587576039314,[0.5 0.6],0.100000024,1,0.62746227,1.0
847,0.173055074156988,-2.5403274559085904,[0.286 0.429],0.14299998,0,0.27881193,0.0
287,-5.493096693078423,-3.909131695841847,[0.5 1. ],0.5,1,0.7362593,1.0
284,1.3355006014488762,-2.570414380284414,[0.286 0.429],0.14299998,0,0.29201078,0.0
733,1.7368390734320842,2.155430746124236,[0.5 0.6],0.100000024,1,0.62746227,1.0
145,1.4393632842165045,2.2615624156956846,[0.5 0.6],0.100000024,1,0.62746227,1.0
459,-6.694237361535914,-6.578648592994671,[0.8 1. ],0.19999999,1,0.94437635,1.0
13,-1.2253681703379649,-2.0325912859671087,[0.75 1.  ],0.25,1,0.82279944,1.0
971,-0.0804391962907173,-2.6957348996700308,[0.286 0.429],0.14299998,1,0.3726861,0.0
527,-1.832236397490448,0.2691442503521225,[0.286 0.429],0.14299998,0,0.37354472,0.0
168,-1.0750685857715314,4.167967248100258,[0.    0.429],0.429,0,0.021711342,0.0
576,-1.1691426311974045,-0.4743133904680705,[0.5 0.6],0.100000024,1,0.6690462,1.0
371,0.6698482194305602,-2.9283427088246663,[0.286 0.429],0.14299998,0,0.25850022,0.0
795,4.310789934768468,-4.9219642270036905,[0.    0.429],0.429,0,0.18024589,0.0
126,-2.5599243004607874,0.8388545617964188,[0.    0.429],0.429,0,0.16649452,0.0
426,0.8019693809350111,1.2546650915124364,[0.5 0.6],0.100000024,0,0.6025933,1.0
491,-0.5502248360610573,1.4758487923674988,[0.286 0.429],0.14299998,1,0.4459367,0.0
533,5.352345113635634,7.194038033453673,[0.5 0.6],0.100000024,1,0.62746227,1.0
387,-0.7863421426670175,-0.3167357259718023,[0.5 0.6],0.100000024,1,0.62103254,1.0
519,-1.955916226938125,-2.688613207340954,[0.8 1. ],0.19999999,1,0.9131066,1.0
472,2.380942071497857,-3.692219023500973,[0.286 0.429],0.14299998,0,0.22971448,0.0
561,2.627068090633521,-0.1353032500329702,[0.5 0.6],0.100000024,0,0.5121885,1.0
25,-0.2447635217519143,-0.8735317603889247,[0.286 0.429],0.14299998,0,0.40250462,0.0
100,4.561664010026724,3.337173230238502,[0.5 0.6],0.100000024,1,0.62746227,1.0
705,0.5472834906911395,0.7415120490712641,[0.5 0.6],0.100000024,0,0.55490446,1.0
255,-1.3017518019737468,0.5107801051187493,[0.286 0.429],0.14299998,0,0.4068891,0.0
813,-0.3754881162999569,0.4123933164327155,[0.5 0.6],0.100000024,1,0.51144576,1.0
997,-0.3103887524273346,0.2638867702062988,[0.5 0.6],0.100000024,0,0.49952945,0.0
385,-1.6352950669479274,-2.3719889196318134,[0.8 1. ],0.19999999,1,0.906047,1.0
930,-6.096640927033921,8.42040149366053,[0.    0.375],0.375,0,1.1320247e-06,0.0
642,2.455819466681931,-1.912322811994817,[0.286 0.429],0.14299998,0,0.35819748,0.0
243,0.6140530119641151,0.8852719757964848,[0.5 0.6],0.100000024,1,0.5683339,1.0
637,2.516659071355447,-1.6987360579748043,[0.286 0.429],0.14299998,0,0.37645248,0.0
480,-1.0843569189729392,1.1289608041352095,[0.286 0.429],0.14299998,0,0.3018236,0.0
462,-0.4167137520011147,-0.521312883492957,[0.286 0.429],0.14299998,1,0.45733088,0.0
237,1.7031287420897931,0.5459802766587045,[0.5 0.6],0.100000024,1,0.5565073,1.0
62,1.8025011379867013,1.677222041387867,[0.5 0.6],0.100000024,1,0.62746227,1.0
481,-0.1351846185384683,-1.8970511931546696,[0.286 0.429],0.14299998,0,0.3726387,0.0
978,1.0414169286811248,1.9586335758956608,[0.5 0.6],0.100000024,1,0.62746227,1.0
639,-4.890241674784778,4.351411509306788,[0.    0.429],0.429,0,0.00060491747,0.0
96,-0.8641722354008321,0.9874309790191764,[0.286 0.429],0.14299998,1,0.3685194,0.0
984,1.2264649048594556,1.5174995452747464,[0.5 0.6],0.100000024,1,0.62746227,1.0
964,-2.806923393233953,2.8492709526273097,[0.    0.429],0.429,0,0.017675683,0.0
158,-0.0463035038373216,-0.5667135512888359,[0.286 0.429],0.14299998,0,0.43168122,0.0
197,1.682494697012502,-0.5641500039410808,[0.286 0.429],0.14299998,1,0.4595369,0.0
562,-0.7348270222336871,-1.9458399164143143,[0.5 0.6],0.100000024,1,0.6472208,1.0
305,3.23156045162444,1.1748330244507648,[0.5 0.6],0.100000024,1,0.62746227,1.0
215,-0.2275997887847208,-1.3499277719551543,[0.286 0.429],0.14299998,1,0.39691153,0.0
465,1.5811556221250576,-2.2477718921657845,[0.286 0.429],0.14299998,0,0.3192958,0.0
546,-0.8658066449379328,-2.618351092038237,[0.5 1. ],0.5,1,0.71873504,1.0
640,-0.6216137035283819,0.6830641578720581,[0.5 0.6],0.100000024,1,0.5018651,1.0
380,1.959369461462044,3.9572998378066297,[0.5 0.6],0.100000024,1,0.62746227,1.0
314,-0.1832693372923208,0.6904892801835496,[0.5 0.6],0.100000024,1,0.53877115,1.0
679,5.6743608285600855,4.997760696482112,[0.5 0.6],0.100000024,1,0.62746227,1.0
176,0.1731722304039964,0.6621367366321672,[0.5 0.6],0.100000024,0,0.5420406,1.0
942,-2.649825844175182,-5.188035149585428,[0.8 1. ],0.19999999,1,0.98728895,1.0
904,0.7511624375313568,1.5864945052562922,[0.5 0.6],0.100000024,0,0.62746227,1.0
766,-1.6414041712797018,-0.1631010505258107,[0.5 0.6],0.100000024,1,0.5131592,1.0
730,-0.3209403736104884,-0.809392211141384,[0.286 0.429],0.14299998,1,0.42233127,0.0
276,0.1435982311618543,-0.5093846172962029,[0.286 0.429],0.14299998,0,0.4396275,0.0
899,1.4802174308420986,2.5960667096240257,[0.5 0.6],0.100000024,1,0.62746227,1.0
843,-4.352616699663431,3.515632682095304,[0.    0.429],0.429,0,0.0026523203,0.0
824,-2.8349137794785064,1.595809262449286,[0.    0.429],0.429,0,0.07137807,0.0
550,0.7460918475467744,-1.123414715500174,[0.286 0.429],0.14299998,0,0.39694366,0.0
98,-1.4903436205442002,-0.3528768165511536,[0.5 0.6],0.100000024,1,0.5869081,1.0
429,-0.1081363020105653,-1.0619727728952433,[0.286 0.429],0.14299998,1,0.38887665,0.0
460,0.4712430581176644,1.504047335383213,[0.5 0.6],0.100000024,1,0.6182221,1.0
355,-0.8841050157143353,-2.827431685422347,[0.5 1. ],0.5,1,0.730916,1.0
367,-0.9664548548659524,-1.4114802915192572,[0.5 1. ],0.5,1,0.7254008,1.0
879,-2.0609385963821807,-2.072064376069428,[0.8 1. ],0.19999999,1,0.8402272,1.0
594,-5.070741632224774,5.747322121761421,[0.    0.375],0.375,0,8.173689e-05,0.0
152,-1.8282384406433236,0.6203336912223939,[0.286 0.429],0.14299998,0,0.2962105,0.0
725,2.5234170580141813,0.6686385998453952,[0.5 0.6],0.100000024,1,0.58004206,1.0
318,-2.3502705767386054,1.119663801490429,[0.    0.429],0.429,0,0.14923532,0.0
434,2.221056644898844,2.1723335044792487,[0.5 0.6],0.100000024,1,0.62746227,1.0
726,-1.696514575806439,3.283680957408061,[0.    0.429],0.429,0,0.020302078,0.0
688,2.0462481305229883,0.2385088812920099,[0.5 0.6],0.100000024,1,0.5353854,1.0
558,-2.052287218633609,-0.7369555193424858,[0.5 0.6],0.100000024,1,0.58195865,1.0
638,-1.2880218245220818,-2.335932951696547,[0.8 1. ],0.19999999,1,0.844431,1.0
273,4.288504504219843,-2.0733183744987462,[0.286 0.429],0.14299998,0,0.372658,0.0
34,1.62850811357391,0.0474867010258418,[0.5 0.6],0.100000024,1,0.51199764,1.0
448,-0.4046690163395434,1.5758554758514598,[0.5 0.6],0.100000024,1,0.52923936,1.0
296,-2.007117658435715,-2.865382772949741,[0.8 1. ],0.19999999,1,0.92358696,1.0
789,2.494760305699459,1.5030133395271643,[0.5 0.6],0.100000024,1,0.62746227,1.0
657,0.2243332448058338,-1.0015577931095585,[0.286 0.429],0.14299998,1,0.3990536,0.0
11,1.998895771311481,-2.615773904073031,[0.286 0.429],0.14299998,0,0.2976424,0.0
80,-0.8497863053531785,-3.2862199696920262,[0.5 1. ],0.5,1,0.7298814,1.0
965,-3.7371752621838175,3.938094627499005,[0.    0.429],0.429,0,0.0022454497,0.0
18,-0.8575442793045869,-1.2688834309151171,[0.5 0.6],0.100000024,1,0.6790487,1.0
999,1.0133698845673784,-2.01580740110369,[0.286 0.429],0.14299998,0,0.32899982,0.0
532,0.7369348947882941,1.6038791861463295,[0.5 0.6],0.100000024,0,0.62746227,1.0
473,-1.687152055375291,-0.760182175768273,[0.5 0.6],0.100000024,1,0.64951223,1.0
889,0.1894656303116084,-0.9829998180777046,[0.286 0.429],0.14299998,0,0.4000678,0.0
991,3.0135340310243577,0.0521947783545384,[0.5 0.6],0.100000024,0,0.5347656,1.0
133,0.3410979153947074,-1.0109455117275297,[0.286 0.429],0.14299998,0,0.4000798,0.0
548,0.1613341953013509,3.170974942001397,[0.5 0.6],0.100000024,1,0.56551147,1.0
279,-1.7272296838211554,-1.386817673247834,[0.5 1. ],0.5,1,0.77114433,1.0
626,-0.990653585866788,-1.3482933097201968,[0.5 1. ],0.5,0,0.7327369,1.0
300,0.6566345219708049,0.5879818318406566,[0.5 0.6],0.100000024,1,0.5433762,1.0
234,2.603365674135653,3.729683712661532,[0.5 0.6],0.100000024,1,0.62746227,1.0
272,-2.529603422150269,-4.179287256513754,[0.8 1. ],0.19999999,1,0.9686326,1.0
878,-0.1370549706904078,-1.745952040736047,[0.286 0.429],0.14299998,1,0.36892676,0.0
845,-1.158832337422674,-2.318664500623357,[0.667 1.   ],0.333,1,0.80964994,1.0
303,3.9022669647020582,-5.7993114285536,[0.    0.429],0.429,0,0.13614777,0.0
137,0.6229547023280668,-0.3430401669109485,[0.286 0.429],0.14299998,0,0.4616929,0.0
148,-0.7687840688933834,-0.2233786006542923,[0.5 0.6],0.100000024,0,0.61042595,1.0
230,-2.6521483753410764,-1.9349281171067283,[0.5 1. ],0.5,1,0.74973,1.0
855,-0.3541566387920702,1.0246795067588392,[0.5 0.6],0.100000024,0,0.5649066,1.0
474,0.922250212277498,-3.1467648756186346,[0.286 0.429],0.14299998,0,0.24717112,0.0
583,2.010863097967857,-3.031210499825005,[0.286 0.429],0.14299998,0,0.26836666,0.0
458,-0.5411853147879822,2.1179018019855818,[0.286 0.429],0.14299998,0,0.34568188,0.0
998,1.3539295119356831,0.3914326003133088,[0.5 0.6],0.100000024,1,0.5375293,1.0
490,5.368369995767495,6.74649212972616,[0.5 0.6],0.100000024,1,0.62746227,1.0
345,4.528742631337432,4.152147308163712,[0.5 0.6],0.100000024,1,0.62746227,1.0
402,-0.2552675630329491,-1.214286479547012,[0.286 0.429],0.14299998,1,0.40515587,0.0
620,1.9191720867022,-0.1126069934783063,[0.5 0.6],0.100000024,1,0.50271916,1.0
348,0.4939968083002759,-0.5555235880962786,[0.286 0.429],0.14299998,0,0.44124377,0.0
937,0.1262949244558161,0.2081217573080868,[0.5 0.6],0.100000024,0,0.50172424,1.0
89,1.2038864301177972,-2.939601266096279,[0.286 0.429],0.14299998,0,0.2644148,0.0
926,-2.213323260512979,-4.22758571949213,[0.8 1. ],0.19999999,1,0.97503793,1.0
741,-0.7787254743081874,-1.138807047589062,[0.5 0.6],0.100000024,1,0.64228207,1.0
60,-0.3312827166244084,-1.453137348106856,[0.286 0.429],0.14299998,1,0.44740072,0.0
189,-0.9513765745821622,0.8640620597437255,[0.286 0.429],0.14299998,0,0.38273403,0.0
683,-3.8523183845521736,2.67808664949102,[0.    0.429],0.429,0,0.011300027,0.0
